Station Code,Water Quality,Locations,State Name,TEMPERATURE (degree Centigrade)-Minimum,TEMPERATURE (degree Centigrade)-Maximum,TEMPERATURE (degree Centigrade)-Mean,Dissolved Oxygen(D.O.) (mg/l)-Minimum,Dissolved Oxygen(D.O.) (mg/l)-Maximum,Dissolved Oxygen(D.O.) (mg/l)-Mean,pH-Minimum,pH-Maximum,pH-Mean,CONDUCTIVITY (umhos/cm)-Minimum,CONDUCTIVITY (umhos/cm)-Maximum,CONDUCTIVITY (umhos/cm)-Mean,Biochemical oxygen demand (B.O.D.) (mg/l)-Minimum,Biochemical oxygen demand (B.O.D.) (mg/l)-Maximum,Biochemical oxygen demand (B.O.D.) (mg/l)-Mean,NITRATE- N+ NITRITE-N (mg/l)-Minimum,NITRATE- N+ NITRITE-N (mg/l)-Maximum,NITRATE- N+ NITRITE-N (mg/l)-Mean,FECAL COLIFORM (MPN/100ml)-Minimum,FECAL COLIFORM (MPN/100ml)-Maximum,FECAL COLIFORM (MPN/100ml)-Mean,TOTAL COLIFORM (MPN/100ml)-Minimum,TOTAL COLIFORM (MPN/100ml)-Maximum,TOTAL COLIFORM (MPN/100ml)-Mean,FLUORIDE(mg/l)-Minimum,FLUORIDE(mg/l)-Maximum,FLUORIDE(mg/l)-Mean,WaterQualityCategory_encoded
2517,WATER QUALITY OF TRIBUTARY STREAMS- MATHA BHANGA,MATHA BHANGA- GOBINDAPUR,WEST BENGAL,20.0,33.0,28.4,0.0,5.5,1.9,6.6,7.8,7.2,208.0,661.0,514.0,1.5,90.0,16.1,0.1,1.3,0.48,30000.0,5000000.0,1471818.0,50000.0,9000000.0,2584545.0,0.4,0.5696,0.51,171
2534,WATER QUALITY OF TRIBUTARY STREAMS- MAYURAKSHI,WATER INTAKE POINT FOR SURITOWN ON R. MAYURAKSHI,WEST BENGAL,17.5,32.5,26.7,4.9,9.0,7.6,7.2,8.5,7.8,102.0,404.0,159.0,1.1,3.8,2.2,0.04,0.53,0.18,2.0,8000.0,1442.0,4.0,24000.0,4329.0,0.4,0.5696,0.51,172
2507,WATER QUALITY OF TRIBUTARY STREAMS- KANSI,DOWNSTREAM OF KANSI AT MIDNAPORE- NEAR NEW HANUMAN MANDIR,WEST BENGAL,19.0,36.0,27.6,5.8,11.0,8.3,6.5,8.2,7.6,115.0,232.0,202.0,1.1,6.1,2.7,0.04,0.58,0.17,4000.0,140000.0,44273.0,9000.0,1600000.0,311455.0,0.4,0.5696,0.51,138
1946,WATER QUALITY OF TRIBUTARY STREAMS- MAHANANDA,MAHANANDA AT SILIGURI,WEST BENGAL,20.0,31.0,25.7,6.1,8.0,7.2,6.5,7.3,7.0,119.0,179.0,148.0,1.2,6.6,3.3,0.05,0.6,0.33,14000.0,210000.0,99818.0,22000.0,390000.0,179273.0,0.4,0.5696,0.51,161
2525,WATER QUALITY OF TRIBUTARY STREAMS- MAHANANDA,MAHANANDA DOWNSTREAM- RAMGHAT,WEST BENGAL,18.0,28.0,22.3,7.2,9.6,8.1,7.1,7.6,7.3,65.0,140.0,88.0,0.8,4.4,2.0,0.05,0.5,0.27,8000.0,390000.0,162818.0,14000.0,1700000.0,585000.0,0.4,0.5696,0.51,161
2572,WATER QUALITY OF TRIBUTARY STREAMS- MAHANANDA,MAHANANDA AT THAKURGANJ-KISHANGANJ ROAD BRIDGE,BIHAR,23.0,27.0,25.7,6.8,8.2,7.3,7.6,7.8,7.7,345.0,430.0,384.0,2.4,2.8,2.7,0.05,0.55,0.30000000000000004,700.0,2200.0,1533.0,1400.0,5000.0,3133.0,0.4,0.5696,0.51,161
2549,WATER QUALITY OF TRIBUTARY STREAMS- VINDYADHARI,UPSTREAM OF VINDYADHARI AT HAROABDG,WEST BENGAL,19.0,31.0,25.7,0.4,4.8,1.6,7.1,8.4,7.7,510.0,13010.0,4428.0,1.0,26.8,10.2,0.02,0.41,0.17,14000.0,220000.0,90364.0,27000.0,280000.0,167545.0,0.4,0.5696,0.51,238
2550,WATER QUALITY OF TRIBUTARY STREAMS- VINDYADHARI,DOWNSTREAM OF VINDYADHARI AT MALANCHABURNING GHAT,WEST BENGAL,17.0,29.0,25.0,0.7,5.8,2.7,7.4,8.1,7.7,1468.0,29900.0,11409.0,0.2,13.0,4.2,0.04,1.71,0.64,4000.0,170000.0,42727.0,14000.0,220000.0,73182.0,0.4,0.5696,0.51,238
2381,WATER QUALITY OF TRIBUTARY STREAMS- BOKARO,BOKARO AT JARANDI,JHARKHAND,23.0,29.0,26.3,6.6,6.8,6.7,6.5,6.5,6.5,260.0,577.0,425.0,2.1,3.0,2.6,0.12,1.27,0.58,15.0,220.0,94.0,80.0,540.0,309.0,0.4,0.5696,0.51,79
2396,WATER QUALITY OF TRIBUTARY STREAMS- JUMAR,JUMAR AT KANKE DAM,JHARKHAND,17.0,26.5,22.7,5.2,8.1,6.4,6.6,7.9,7.0,260.0,577.0,425.0,3.0,5.0,3.8,0.12,1.27,0.58,110.0,150.0,130.0,750.0,750.0,750.0,0.4,0.5696,0.51,125
1260,WATER QUALITY OF RIVER BRAHMAPUTRA,BRAHMAPUTRA AT KHERGHAT (A/ C DIBANG & DIHANG),ASSAM,18.0,28.0,23.3,6.8,9.0,7.9,7.0,7.6,7.3,91.0,175.0,128.0,0.3,9.2,2.6,0.1,0.21,0.13,0.0,360.0,180.0,300.0,2800.0,1149.0,0.4,0.5696,0.51,6
1030,WATER QUALITY OF RIVER BRAHMAPUTRA,BRAHMAPUTRA AT DIBRUGARH,ASSAM,18.0,28.0,23.2,6.2,8.8,8.4,6.7,7.7,7.3,94.0,197.0,148.0,0.5,3.8,2.1,0.1,0.3,0.14,0.0,360.0,142.0,300.0,9300.0,1561.0,0.4,0.5696,0.51,6
1262,WATER QUALITY OF RIVER BRAHMAPUTRA,BRAHMAPUTRA AT NIMATIGHAT,ASSAM,17.0,28.0,23.8,4.4,7.5,6.4,6.1,7.6,7.1,71.0,205.0,151.0,0.3,3.0,1.5,0.1,0.2,0.12,0.0,700.0,124.0,1.0,3500.0,780.0,0.4,0.5696,0.51,6
